Time [s], Analyzer Name, Decoded Protocol Result,,
1.3220711,SPI,MOSI: 0xAE;  MISO: 0x00,,
1.32207218,SPI,MOSI: 0xD5;  MISO: 0x00,,
1.32207324,SPI,MOSI: 0x80;  MISO: 0x00,,
1.3220743,SPI,MOSI: 0xA8;  MISO: 0x00,,
1.32207538,SPI,MOSI: 0x3F;  MISO: 0x00,,
1.32207644,SPI,MOSI: 0xD3;  MISO: 0x00,,
1.3220775,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32207858,SPI,MOSI: 0x40;  MISO: 0x00,,
1.32207964,SPI,MOSI: 0x8D;  MISO: 0x00,,
1.3220807,SPI,MOSI: 0x14;  MISO: 0x00,,
1.32208178,SPI,MOSI: 0x20;  MISO: 0x00,,
1.32208284,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3220839,SPI,MOSI: 0xA1;  MISO: 0x00,,
1.32208498,SPI,MOSI: 0xC8;  MISO: 0x00,,
1.32208604,SPI,MOSI: 0xDA;  MISO: 0x00,,
1.3220871,SPI,MOSI: 0x12;  MISO: 0x00,,
1.32208818,SPI,MOSI: 0x81;  MISO: 0x00,,
1.32208924,SPI,MOSI: 0xCF;  MISO: 0x00,,
1.3220903,SPI,MOSI: 0xD9;  MISO: 0x00,,
1.32209138,SPI,MOSI: 0xF1;  MISO: 0x00,,
1.32209244,SPI,MOSI: 0xDB;  MISO: 0x00,,
1.3220935,SPI,MOSI: 0x40;  MISO: 0x00,,
1.32209458,SPI,MOSI: 0xA4;  MISO: 0x00,,
1.32209564,SPI,MOSI: 0xA6;  MISO: 0x00,,
1.3220967,SPI,MOSI: 0xAF;  MISO: 0x00,,
1.32210516,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32210622,SPI,MOSI: 0x10;  MISO: 0x00,,
1.3221073,SPI,MOSI: 0x40;  MISO: 0x00,,
1.3221092,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211026,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211132,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221124,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211346,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211452,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221156,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211666,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211772,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221188,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32211986,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32212092,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322122,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32212306,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32212412,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221252,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32212626,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32212732,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221284,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32212946,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32213052,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221316,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32213266,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32213372,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221348,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32213586,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32213692,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322138,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32213906,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214012,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221412,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214226,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214332,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221444,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214546,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214652,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221476,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214866,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32214972,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221508,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32215186,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32215292,SPI,MOSI: 0x00;  MISO: 0x00,,
1.322154,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32215506,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32215612,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221572,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32215826,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32215932,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221604,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32216146,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32216252,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221636,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32216466,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32216572,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221668,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32216786,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32216892,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217106,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217212,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221732,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217426,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217532,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221764,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217746,SPI,MOSI: 0x00;  MISO: 0x00,,
1.32217852,SPI,MOSI: 0x00;  MISO: 0x00,,
1.3221796,SPI,MOSI: 0x00;  MISO: 0x00,,
